Order_ID;Order_Line_ID;Customer_ID;Date;Product_Category_id;Unit_Price;Quantity;Discount_Amount;Payment_id;Device_Type_id;Session_Duration_Minutes;Pages_Viewed;Is_Returning_Customer;Delivery_Time_Days;Customer_Rating
62;ORD_000022-2;22;15.06.2023;5;55,11;4;0;5;1;16;8;WAHR;4;4
63;ORD_000022-3;22;02.09.2023;1;23,82;5;0;2;2;15;9;WAHR;5;5
64;ORD_000022-4;22;21.01.2024;3;351,2;1;0;5;1;17;5;WAHR;3;4
65;ORD_000023-1;23;14.12.2023;7;105,55;1;0;5;1;15;7;WAHR;10;5
66;ORD_000024-1;24;16.04.2023;1;35,95;2;13,08;2;2;17;5;FALSCH;4;5
67;ORD_000024-2;24;17.04.2023;1;70,37;5;76,68;2;1;10;10;WAHR;10;4
68;ORD_000025-1;25;28.01.2023;2;442;2;66,41;2;2;9;11;WAHR;2;5
69;ORD_000025-2;25;02.07.2023;2;270,73;1;26,66;4;2;14;7;WAHR;7;5
70;ORD_000026-1;26;18.06.2023;7;356,97;1;0;1;1;16;11;FALSCH;9;5
71;ORD_000026-2;26;24.06.2023;5;108,41;4;0;4;1;13;3;WAHR;10;5
72;ORD_000027-1;27;10.01.2023;6;314,84;4;0;4;1;14;8;FALSCH;9;4
73;ORD_000027-2;27;07.02.2023;1;39,46;3;23,26;3;3;11;5;WAHR;6;5
74;ORD_000027-3;27;01.08.2023;3;235,3;1;51,02;2;1;15;15;WAHR;9;5
75;ORD_000027-4;27;25.02.2024;3;323,32;4;254,43;2;1;13;7;WAHR;7;3
76;ORD_000028-1;28;07.02.2023;7;224,5;3;0;4;1;16;10;WAHR;3;5
77;ORD_000028-2;28;19.11.2023;1;52,8;4;19,28;3;2;14;7;WAHR;3;3
78;ORD_000029-1;29;26.03.2023;1;39,02;4;0;3;2;12;7;WAHR;3;2
79;ORD_000029-2;29;12.04.2023;4;104,4;2;41,48;3;1;17;12;WAHR;4;4
80;ORD_000029-3;29;18.05.2023;3;1033,1;1;196,65;4;1;15;11;WAHR;8;3
81;ORD_000029-4;29;08.06.2023;3;522,47;3;0;1;1;17;8;WAHR;4;4
82;ORD_000029-5;29;31.07.2023;3;535,63;4;247,41;4;2;13;12;WAHR;5;3
83;ORD_000029-6;29;20.11.2023;5;136,76;2;41,31;2;2;14;10;WAHR;8;1
84;ORD_000029-7;29;29.12.2023;8;2976;4;2546,49;1;2;20;12;WAHR;3;4
85;ORD_000029-8;29;25.03.2024;8;1297,3;1;212,87;2;1;17;8;WAHR;7;5
86;ORD_000030-1;30;05.01.2023;5;64,31;1;12,11;2;2;9;13;WAHR;8;5
87;ORD_000030-2;30;10.01.2023;7;499,86;5;0;2;3;10;7;WAHR;12;5
88;ORD_000030-3;30;24.04.2023;5;106,87;4;52,55;4;2;15;6;WAHR;3;3
89;ORD_000030-4;30;15.08.2023;2;1389,24;2;0;1;1;12;10;WAHR;8;2
90;ORD_000030-5;30;20.08.2023;6;131,27;3;0;3;2;18;12;WAHR;4;5
91;ORD_000030-6;30;06.09.2023;4;60;3;0;1;2;19;9;WAHR;6;4
92;ORD_000030-7;30;08.02.2024;8;3263,55;4;0;2;1;15;13;WAHR;4;5
93;ORD_000031-1;31;17.03.2023;4;53,71;3;0;3;1;15;11;FALSCH;9;4
94;ORD_000031-2;31;08.03.2024;4;57,81;3;0;5;2;13;7;WAHR;8;5
95;ORD_000031-3;31;09.03.2024;1;90,01;2;0;2;1;12;8;WAHR;2;4
96;ORD_000032-1;32;18.08.2023;1;22,68;2;0;4;3;18;9;WAHR;5;3
97;ORD_000033-1;33;30.04.2023;6;83,15;1;0;2;1;14;12;FALSCH;5;3
98;ORD_000033-2;33;08.11.2023;2;353,02;1;20,79;2;1;14;11;WAHR;9;4
99;ORD_000034-1;34;26.01.2023;8;1955,82;3;930,12;3;2;15;9;WAHR;6;5
100;ORD_000034-2;34;23.03.2023;7;682,48;2;0;2;1;16;11;WAHR;12;5
101;ORD_000035-1;35;17.07.2023;4;52,07;2;0;5;1;12;12;WAHR;9;5
102;ORD_000035-2;35;09.03.2024;1;69,42;2;21,25;2;1;14;10;WAHR;5;3
103;ORD_000036-1;36;01.05.2023;4;27,28;3;0;4;1;11;8;WAHR;6;4
104;ORD_000036-2;36;14.06.2023;1;58,89;4;0;2;2;15;11;WAHR;13;5
105;ORD_000036-3;36;29.10.2023;6;62,08;1;5,85;5;1;15;8;WAHR;4;5
106;ORD_000037-1;37;29.12.2023;2;1199,8;3;0;2;3;17;4;FALSCH;15;5
107;ORD_000038-1;38;23.04.2023;7;187,96;3;0;1;1;13;12;FALSCH;5;3
108;ORD_000038-2;38;01.05.2023;4;68,52;3;0;1;1;13;7;WAHR;3;3
109;ORD_000038-3;38;12.02.2024;4;72,23;5;0;2;3;16;10;WAHR;4;5
110;ORD_000039-1;39;23.03.2023;5;203,37;2;0;2;1;12;11;FALSCH;7;5
111;ORD_000039-2;39;03.04.2023;8;1390,83;2;0;2;1;17;9;WAHR;4;5
112;ORD_000039-3;39;07.12.2023;1;46,95;2;0;2;1;13;11;WAHR;8;5
113;ORD_000040-1;40;22.12.2023;6;466,97;3;0;2;1;13;6;FALSCH;8;5
114;ORD_000040-2;40;09.01.2024;6;73,43;1;0;4;2;19;6;WAHR;6;4
115;ORD_000040-3;40;26.01.2024;7;700,51;2;0;4;1;11;6;WAHR;8;5
116;ORD_000041-1;41;23.03.2023;5;135,85;2;33,29;2;2;10;9;FALSCH;8;3
117;ORD_000041-2;41;13.10.2023;5;156,58;3;63,07;2;3;17;7;WAHR;3;5
118;ORD_000041-3;41;19.11.2023;2;384,39;2;0;4;2;16;9;WAHR;5;2
119;ORD_000041-4;41;10.03.2024;2;1423,9;3;0;4;2;18;9;WAHR;4;4
120;ORD_000042-1;42;02.03.2023;2;1155,28;3;0;4;3;11;10;WAHR;4;5
121;ORD_000042-2;42;01.09.2023;4;39,26;4;17,17;4;1;12;8;WAHR;8;3
122;ORD_000043-1;43;05.02.2023;7;223,77;3;78,73;2;1;17;10;WAHR;10;5
123;ORD_000043-2;43;03.12.2023;2;687,22;1;0;4;1;14;9;WAHR;11;5
124;ORD_000044-1;44;05.04.2023;5;52,53;4;0;1;1;12;4;FALSCH;2;5
125;ORD_000044-2;44;26.01.2024;4;60,62;3;0;2;3;15;11;WAHR;7;5
126;ORD_000045-1;45;26.12.2023;3;609,17;4;507,4;3;2;10;7;WAHR;1;4
127;ORD_000045-2;45;07.01.2024;1;21,41;3;11,83;1;2;17;10;WAHR;11;4
128;ORD_000045-3;45;11.01.2024;8;2069,35;3;637,81;2;2;19;10;WAHR;2;4
129;ORD_000046-1;46;12.01.2023;8;349,67;5;0;1;2;14;9;WAHR;4;3
130;ORD_000046-2;46;27.12.2023;6;69,47;2;0;1;2;15;12;WAHR;5;1
131;ORD_000047-1;47;15.02.2023;2;570,25;2;234,25;2;1;17;9;WAHR;3;5
132;ORD_000047-2;47;08.03.2024;8;1171,38;2;274,8;1;3;14;9;WAHR;6;5
133;ORD_000048-1;48;01.04.2023;2;754,66;4;436,52;2;1;13;11;WAHR;2;2
134;ORD_000048-2;48;24.06.2023;5;262,43;3;0;3;1;14;12;WAHR;8;5
135;ORD_000048-3;48;26.06.2023;2;391,92;2;0;4;2;14;13;WAHR;7;4
136;ORD_000048-4;48;02.02.2024;4;70,76;4;0;2;2;11;10;WAHR;16;3
137;ORD_000049-1;49;13.03.2023;5;123,23;2;0;2;2;14;10;WAHR;10;5
138;ORD_000049-2;49;30.06.2023;4;21,8;5;23,52;2;2;16;7;WAHR;10;4
139;ORD_000049-3;49;13.11.2023;8;200,94;2;31,47;4;2;14;9;WAHR;4;2
140;ORD_000050-1;50;14.03.2024;5;123,7;2;0;3;1;9;4;WAHR;9;4
141;ORD_000051-1;51;03.01.2023;3;288,77;1;34,32;2;2;11;8;FALSCH;14;4
142;ORD_000051-2;51;28.02.2024;1;23,59;4;10,59;2;2;18;8;WAHR;3;3
143;ORD_000052-1;52;13.04.2023;2;1338,63;5;1212,19;2;1;13;10;WAHR;11;3
144;ORD_000052-2;52;25.07.2023;7;248,68;4;0;3;1;17;8;WAHR;4;5
145;ORD_000052-3;52;01.03.2024;6;31,47;5;10,23;2;1;17;3;WAHR;3;5
146;ORD_000052-4;52;15.03.2024;1;35,99;5;0;1;1;16;11;WAHR;10;4
147;ORD_000053-1;53;03.03.2024;1;58,41;4;24,8;2;1;11;5;WAHR;3;1
148;ORD_000054-1;54;24.08.2023;2;529,46;1;0;4;1;16;6;WAHR;1;3
149;ORD_000055-1;55;30.05.2023;5;80,05;3;0;1;1;19;6;WAHR;13;4
150;ORD_000055-2;55;20.12.2023;4;79,45;4;0;4;2;14;9;WAHR;5;4
151;ORD_000055-3;55;15.03.2024;5;85,2;3;39,23;2;3;16;8;WAHR;5;3
152;ORD_000056-1;56;09.05.2023;8;882,99;3;0;2;1;17;11;WAHR;3;5
153;ORD_000056-2;56;30.06.2023;3;282,46;4;171,23;2;2;12;10;WAHR;10;5
154;ORD_000056-3;56;20.12.2023;5;28,14;5;0;4;2;11;8;WAHR;5;4
155;ORD_000056-4;56;26.01.2024;5;200,75;5;0;2;1;11;10;WAHR;6;5
156;ORD_000056-5;56;23.02.2024;2;217,84;5;0;2;3;9;7;WAHR;4;3
157;ORD_000057-1;57;27.03.2023;3;261,58;4;0;2;3;11;9;FALSCH;5;4
158;ORD_000057-2;57;10.04.2023;1;58,04;3;19,12;2;1;16;10;WAHR;3;4
159;ORD_000057-3;57;16.12.2023;5;24,85;5;25,55;4;1;17;8;WAHR;2;4
160;ORD_000057-4;57;29.12.2023;5;71,79;3;0;4;2;13;9;WAHR;10;4
161;ORD_000058-1;58;16.08.2023;6;239,64;1;0;5;1;14;7;WAHR;7;4
162;ORD_000058-2;58;30.09.2023;3;1253,94;3;0;2;2;10;6;WAHR;10;4
163;ORD_000058-3;58;13.10.2023;5;128,09;3;0;4;1;11;15;WAHR;4;2
164;ORD_000058-4;58;03.01.2024;7;293,57;1;17,14;4;1;13;9;WAHR;3;4
165;ORD_000058-5;58;06.01.2024;5;59,61;1;8,94;1;2;15;13;WAHR;8;5
166;ORD_000058-6;58;26.01.2024;7;83,81;3;0;2;1;14;10;WAHR;8;4
167;ORD_000059-1;59;11.02.2023;7;213,55;5;0;4;3;16;11;FALSCH;10;3
168;ORD_000059-2;59;17.08.2023;7;102,29;2;18,59;2;2;18;7;WAHR;3;4
169;ORD_000059-3;59;01.10.2023;1;48,41;2;0;2;1;17;5;WAHR;6;1
170;ORD_000059-4;59;24.02.2024;3;508,03;5;0;3;2;13;11;WAHR;11;5
171;ORD_000060-1;60;20.08.2023;6;293,2;4;0;1;3;18;5;WAHR;12;5
172;ORD_000061-1;61;08.01.2023;7;403,55;1;84,63;5;1;14;8;WAHR;5;1
173;ORD_000061-2;61;02.02.2024;5;198,98;4;0;5;1;14;6;WAHR;3;3
174;ORD_000061-3;61;11.02.2024;5;127,96;1;0;3;1;12;8;WAHR;6;4
175;ORD_000062-1;62;12.02.2023;5;69,42;5;0;2;3;17;10;WAHR;3;5
176;ORD_000062-2;62;01.09.2023;7;613,57;4;477,28;4;1;13;5;WAHR;5;5
177;ORD_000062-3;62;06.09.2023;5;165,73;4;77,72;2;1;17;6;WAHR;8;4
178;ORD_000062-4;62;23.12.2023;8;909,85;3;0;4;3;14;12;WAHR;6;5
179;ORD_000063-1;63;08.01.2023;7;365,22;5;0;1;1;12;9;WAHR;4;5
180;ORD_000063-2;63;12.01.2023;7;469,87;1;0;2;1;18;9;WAHR;2;4
181;ORD_000063-3;63;29.02.2024;5;186,88;4;83,35;1;1;15;8;WAHR;5;5
182;ORD_000064-1;64;06.02.2024;3;257,22;3;39,57;2;1;15;10;WAHR;9;5
183;ORD_000065-1;65;24.09.2023;8;962,82;1;0;4;1;13;7;WAHR;7;4
184;ORD_000065-2;65;10.03.2024;8;1004,2;2;0;2;2;11;11;WAHR;2;5
185;ORD_000066-1;66;17.09.2023;2;1184,26;3;0;2;3;15;12;WAHR;6;3
186;ORD_000067-1;67;13.01.2023;4;71,11;2;0;3;2;16;9;WAHR;6;4
187;ORD_000067-2;67;25.01.2023;7;205,92;3;106,52;4;1;10;7;WAHR;4;4
188;ORD_000067-3;67;12.07.2023;7;752,97;1;112,76;5;1;18;13;WAHR;11;4
189;ORD_000067-4;67;21.10.2023;4;32,65;3;0;1;1;18;10;WAHR;6;5
190;ORD_000067-5;67;22.01.2024;1;32,25;3;0;2;2;7;12;WAHR;11;5
191;ORD_000068-1;68;07.02.2024;1;40,89;3;0;2;1;13;11;WAHR;8;4
192;ORD_000069-1;69;11.08.2023;7;187,19;2;0;1;3;13;11;WAHR;11;2
193;ORD_000069-2;69;06.10.2023;8;1093,19;2;0;4;1;10;10;WAHR;9;4
194;ORD_000070-1;70;20.01.2023;6;118,61;1;10,05;2;1;11;6;WAHR;3;5
195;ORD_000070-2;70;09.10.2023;1;20,78;1;0;2;2;15;9;WAHR;8;5
196;ORD_000070-3;70;02.11.2023;7;382,31;3;0;3;2;18;9;WAHR;9;4
197;ORD_000071-1;71;29.01.2023;1;43,4;4;14,42;2;1;15;4;WAHR;9;5
198;ORD_000071-2;71;01.12.2023;1;46,34;5;0;2;1;16;5;WAHR;14;5
199;ORD_000071-3;71;16.01.2024;3;100,53;4;42,7;1;1;12;7;WAHR;6;5
200;ORD_000071-4;71;26.01.2024;3;502,89;3;206,68;2;1;18;5;WAHR;8;2
201;ORD_000072-1;72;08.01.2023;3;1438,56;2;0;2;1;11;8;WAHR;12;4
202;ORD_000072-2;72;19.03.2023;3;468,22;1;0;2;3;18;8;WAHR;5;3
203;ORD_000072-3;72;05.11.2023;7;317,83;3;59,03;1;1;13;6;WAHR;8;4
204;ORD_000072-4;72;03.12.2023;1;28,9;3;0;2;2;16;10;WAHR;7;5
205;ORD_000072-5;72;12.12.2023;2;1139,94;1;223,41;2;1;14;5;WAHR;2;1
206;ORD_000072-6;72;13.02.2024;5;83,67;1;0;2;2;16;7;WAHR;8;5
207;ORD_000072-7;72;24.02.2024;4;21,7;2;0;4;1;14;10;WAHR;7;5
208;ORD_000073-1;73;29.07.2023;5;44,95;5;0;4;1;16;10;WAHR;13;5
209;ORD_000074-1;74;13.01.2023;2;53,54;4;18,95;2;3;11;6;FALSCH;6;3
210;ORD_000074-2;74;21.02.2023;3;307,16;4;249,44;4;1;12;8;WAHR;7;3
211;ORD_000074-3;74;13.03.2023;8;1344,39;3;552,81;3;1;15;6;WAHR;5;3
212;ORD_000074-4;74;20.05.2023;6;113,85;5;0;4;2;21;13;WAHR;11;1
213;ORD_000074-5;74;21.07.2023;2;489,76;4;0;4;1;12;6;WAHR;8;3
214;ORD_000074-6;74;14.01.2024;3;456,67;5;207,84;5;2;12;9;WAHR;8;5
215;ORD_000074-7;74;05.02.2024;5;123,27;3;0;2;2;15;9;WAHR;9;5
216;ORD_000075-1;75;10.06.2023;7;119,46;4;72,22;2;1;14;9;FALSCH;9;1
217;ORD_000075-2;75;04.11.2023;6;83,77;1;0;1;1;10;8;WAHR;4;4
218;ORD_000075-3;75;15.11.2023;8;2225,97;5;2066,7;4;1;17;7;WAHR;3;5
219;ORD_000076-1;76;08.04.2023;1;184,95;2;63,05;1;1;15;6;WAHR;7;5
220;ORD_000076-2;76;22.06.2023;4;81,57;4;0;4;1;15;10;WAHR;6;2
221;ORD_000076-3;76;25.07.2023;2;584,94;4;0;2;1;15;9;WAHR;5;5
222;ORD_000076-4;76;17.12.2023;8;3800,46;5;2948,98;2;2;16;13;WAHR;6;2
223;ORD_000076-5;76;10.02.2024;3;489,96;5;420,3;4;1;11;8;WAHR;5;4
224;ORD_000077-1;77;13.02.2023;8;212,54;4;121,81;1;2;13;10;WAHR;4;4
225;ORD_000077-2;77;14.04.2023;3;172,69;1;20,67;3;1;17;7;WAHR;2;5
226;ORD_000077-3;77;01.12.2023;4;53,03;2;12,79;2;1;13;9;WAHR;11;4
227;ORD_000077-4;77;17.03.2024;1;61,83;5;0;2;1;9;11;WAHR;5;3
228;ORD_000078-1;78;04.02.2023;1;49,31;2;0;1;3;18;10;FALSCH;10;4
229;ORD_000078-2;78;05.05.2023;2;155,36;1;25,89;5;2;16;10;WAHR;8;3
230;ORD_000078-3;78;04.09.2023;6;35,6;2;0;5;3;12;14;WAHR;15;4
231;ORD_000079-1;79;21.02.2023;6;114,81;4;0;4;1;16;8;WAHR;10;5
232;ORD_000079-2;79;14.04.2023;7;368,04;4;0;4;2;16;8;WAHR;8;5
233;ORD_000079-3;79;18.08.2023;3;874,42;1;161,73;4;2;11;10;WAHR;5;5
234;ORD_000080-1;80;19.03.2023;6;78,24;2;0;1;1;13;9;WAHR;5;4
235;ORD_000080-2;80;03.04.2023;4;47,99;3;0;2;2;8;8;WAHR;5;4
236;ORD_000080-3;80;08.07.2023;1;110,3;1;7,64;1;2;12;7;WAHR;15;3
237;ORD_000080-4;80;08.07.2023;4;57,03;3;0;2;1;11;10;WAHR;8;4
238;ORD_000080-5;80;08.11.2023;1;32,4;4;0;4;3;13;11;WAHR;8;4
239;ORD_000081-1;81;02.11.2023;8;1154,68;2;324,15;2;1;12;10;FALSCH;3;2
240;ORD_000082-1;82;08.01.2023;1;54,31;5;0;4;1;18;7;FALSCH;12;4
241;ORD_000082-2;82;08.04.2023;2;260,73;1;35,64;2;1;14;10;WAHR;4;5
242;ORD_000082-3;82;02.08.2023;5;76,84;2;0;1;1;7;7;WAHR;2;5
243;ORD_000082-4;82;06.12.2023;2;1259,63;1;0;2;3;13;8;WAHR;9;1
244;ORD_000082-5;82;20.12.2023;2;423,26;4;0;3;1;16;12;WAHR;4;4
245;ORD_000083-1;83;11.10.2023;5;163,21;4;142,45;1;2;16;10;WAHR;5;5
246;ORD_000084-1;84;07.04.2023;3;149,11;1;0;5;2;14;10;FALSCH;5;4
247;ORD_000084-2;84;06.05.2023;3;177,59;2;56,02;2;1;10;9;WAHR;8;5
248;ORD_000084-3;84;07.05.2023;8;551,54;3;0;3;1;19;9;WAHR;9;3
249;ORD_000084-4;84;21.07.2023;4;30,89;5;8,02;4;1;14;10;WAHR;7;4
250;ORD_000084-5;84;08.08.2023;3;94,78;3;0;4;3;16;6;WAHR;11;5
251;ORD_000084-6;84;31.12.2023;1;60,96;3;12,86;2;1;12;6;WAHR;3;5
252;ORD_000085-1;85;23.06.2023;7;433,74;2;148,53;2;1;12;11;FALSCH;5;4
253;ORD_000085-2;85;11.09.2023;4;71,36;3;0;2;1;15;12;WAHR;1;3
254;ORD_000086-1;86;22.01.2023;1;38,38;5;0;4;1;12;13;FALSCH;10;5
255;ORD_000086-2;86;22.03.2023;8;1023,2;2;0;4;3;15;7;WAHR;14;5
256;ORD_000087-1;87;17.02.2023;1;17,78;4;9,22;2;2;13;10;FALSCH;4;3
257;ORD_000087-2;87;25.02.2023;6;63,23;3;0;2;1;13;10;WAHR;10;4
258;ORD_000087-3;87;14.05.2023;6;222,44;2;58,72;3;2;22;6;WAHR;19;5
259;ORD_000087-4;87;20.10.2023;5;146,12;3;0;3;2;15;11;WAHR;2;5
260;ORD_000087-5;87;24.10.2023;1;69,22;3;0;2;3;12;8;WAHR;6;4
261;ORD_000088-1;88;05.05.2023;1;48,14;1;0;2;1;15;8;WAHR;5;5
262;ORD_000088-2;88;29.06.2023;7;386,41;1;59,23;2;1;19;12;WAHR;4;3
263;ORD_000088-3;88;26.10.2023;1;37,09;3;23,63;4;3;17;7;WAHR;7;5
264;ORD_000088-4;88;09.11.2023;6;27,19;2;0;2;1;15;11;WAHR;4;5
265;ORD_000088-5;88;31.12.2023;3;522,89;2;0;2;2;12;9;WAHR;3;5
266;ORD_000089-1;89;14.01.2023;2;681,12;1;0;2;2;14;7;WAHR;7;4
267;ORD_000089-2;89;03.02.2023;4;25,06;2;0;1;1;13;11;WAHR;5;4
268;ORD_000089-3;89;14.02.2023;8;358,73;2;0;2;1;13;8;WAHR;5;5
269;ORD_000089-4;89;23.05.2023;8;762,42;5;0;1;2;12;11;WAHR;9;3
270;ORD_000089-5;89;23.05.2023;8;846,83;2;0;2;2;16;9;WAHR;10;3
271;ORD_000089-6;89;29.10.2023;5;190,2;5;0;4;2;23;11;WAHR;20;3
272;ORD_000089-7;89;14.11.2023;2;787,56;5;792,61;4;2;19;7;WAHR;6;1
273;ORD_000089-8;89;01.12.2023;2;341,27;1;59,39;1;1;14;8;WAHR;6;5
274;ORD_000089-9;89;30.12.2023;8;1217,92;3;0;1;2;11;10;WAHR;6;4
275;ORD_000090-1;90;03.05.2023;2;572,62;4;0;2;2;11;9;WAHR;7;2
276;ORD_000090-2;90;19.05.2023;1;57,66;5;0;4;1;16;8;WAHR;11;2
277;ORD_000090-3;90;28.06.2023;4;31,52;5;0;2;1;15;4;WAHR;18;5
278;ORD_000090-4;90;15.10.2023;2;260,12;4;0;1;2;17;8;WAHR;6;4
279;ORD_000091-1;91;14.02.2023;3;61,54;2;25,5;4;1;14;7;FALSCH;4;5
280;ORD_000091-2;91;28.03.2023;1;21,4;3;7,8;2;1;13;7;WAHR;6;4
281;ORD_000091-3;91;08.04.2023;5;63,4;5;17,96;2;2;16;8;WAHR;6;5
282;ORD_000091-4;91;31.10.2023;4;41,24;4;35,81;2;2;15;11;WAHR;7;5
283;ORD_000092-1;92;08.01.2023;8;1056,12;3;0;4;1;17;8;WAHR;5;4
284;ORD_000092-2;92;04.02.2023;1;69,71;1;0;2;2;13;8;WAHR;12;2
285;ORD_000092-3;92;26.02.2023;3;421,8;3;0;3;1;14;10;WAHR;3;4
286;ORD_000092-4;92;17.03.2023;6;339,37;4;0;2;1;12;8;WAHR;5;5
