Order_ID,Date,Age,Gender,City_Name,Product_Category_Name,Payment_Method,Device_Type,Unit_Price,Quantity,Discount_Amount,Total_Amount,Session_Duration_Minutes,Pages_Viewed,Is_Returning_Customer,Delivery_Time_Days,Customer_Rating
2433,2024-01-12,47,Male,Izmir,Beauty,"Digital Wallet",Tablet,45.52,5,0.00,227.60,14,14,1,4,4
2496,2023-02-14,47,Male,Bursa,Beauty,"Digital Wallet",Tablet,41.32,4,18.04,147.24,15,13,0,9,4
2627,2023-11-18,42,Female,Adana,Beauty,"Digital Wallet",Tablet,70.50,4,0.00,282.00,14,9,1,4,1
2673,2023-11-14,19,Female,Izmir,Food,"Digital Wallet",Tablet,104.45,4,69.83,347.97,16,10,1,10,5
2697,2024-02-21,28,Female,Bursa,Toys,"Digital Wallet",Tablet,295.53,5,0.00,1477.65,15,10,1,3,3
2746,2023-08-02,37,Female,Ankara,Electronics,"Digital Wallet",Tablet,2121.87,1,275.22,1846.65,11,8,1,3,5
2779,2023-05-27,51,Male,Istanbul,Fashion,"Digital Wallet",Tablet,306.50,3,0.00,919.50,20,8,1,7,4
2823,2024-01-11,22,Male,Bursa,Fashion,"Digital Wallet",Tablet,222.92,2,0.00,445.84,11,10,1,3,4
2856,2024-01-25,39,Female,Istanbul,Books,"Digital Wallet",Tablet,23.23,5,13.81,102.34,10,10,1,5,4
2964,2023-12-16,26,Female,Istanbul,Toys,"Digital Wallet",Tablet,139.64,1,19.46,120.18,13,8,1,9,5
2979,2023-01-07,37,Female,Eskisehir,Electronics,"Digital Wallet",Tablet,1351.57,2,0.00,2703.14,15,5,0,2,4
2996,2023-01-12,43,Female,Istanbul,Electronics,"Digital Wallet",Tablet,1313.75,3,0.00,3941.25,17,10,1,3,3
3032,2023-05-26,49,Male,Izmir,Electronics,"Digital Wallet",Tablet,5359.05,2,2176.74,8541.36,18,8,1,6,5
3135,2023-11-15,22,Male,Bursa,"Home & Garden","Digital Wallet",Tablet,982.31,4,0.00,3929.24,19,9,1,5,4
3143,2023-04-01,18,Male,Izmir,Books,"Digital Wallet",Tablet,68.57,1,0.00,68.57,12,9,1,5,5
3163,2023-01-01,34,Male,Ankara,Books,"Digital Wallet",Tablet,117.14,4,0.00,468.56,17,13,0,8,3
3169,2023-06-12,28,Male,Istanbul,Sports,"Digital Wallet",Tablet,834.54,3,0.00,2503.62,14,6,1,11,4
3195,2023-12-02,40,Male,Kayseri,Electronics,"Digital Wallet",Tablet,2520.30,1,0.00,2520.30,13,11,1,11,5
3248,2024-01-20,37,Female,Adana,"Home & Garden","Digital Wallet",Tablet,585.67,5,0.00,2928.35,14,8,1,15,4
3257,2023-06-11,19,Female,Istanbul,"Home & Garden","Digital Wallet",Tablet,371.89,5,345.62,1513.83,15,7,1,6,5
3343,2023-10-02,29,Female,Bursa,"Home & Garden","Digital Wallet",Tablet,693.97,5,0.00,3469.85,15,11,1,12,4
3388,2023-10-07,35,Male,Gaziantep,Toys,"Digital Wallet",Tablet,198.54,4,0.00,794.16,17,8,1,6,3
3448,2023-11-11,28,Male,Gaziantep,"Home & Garden","Digital Wallet",Tablet,226.73,3,0.00,680.19,11,8,1,9,5
3471,2023-02-12,31,Male,Bursa,"Home & Garden","Digital Wallet",Tablet,363.58,4,187.83,1266.49,19,12,1,5,5
3512,2024-01-25,40,Male,Ankara,Electronics,"Digital Wallet",Tablet,1073.43,5,0.00,5367.15,13,12,1,6,2
3607,2023-10-15,51,Male,Istanbul,Toys,"Digital Wallet",Tablet,343.23,1,0.00,343.23,12,6,1,4,5
3653,2023-07-31,44,Male,Bursa,Beauty,"Digital Wallet",Tablet,249.45,5,269.67,977.58,16,11,1,4,5
3689,2023-07-16,35,Male,Eskisehir,Sports,"Digital Wallet",Tablet,330.07,1,0.00,330.07,17,10,1,4,4
3710,2023-12-13,53,Female,Istanbul,Books,"Digital Wallet",Tablet,64.55,5,0.00,322.75,16,10,1,2,5
3721,2023-02-14,31,Male,Gaziantep,Electronics,"Digital Wallet",Tablet,1538.70,3,0.00,4616.10,17,10,0,2,3
3741,2024-01-17,47,Male,Istanbul,Food,"Digital Wallet",Tablet,26.20,3,0.00,78.60,17,7,1,8,5
3800,2023-10-06,33,Male,Istanbul,Books,"Digital Wallet",Tablet,35.75,5,0.00,178.75,8,7,1,6,4
3820,2023-07-15,42,Male,Kayseri,Fashion,"Digital Wallet",Tablet,127.96,3,0.00,383.88,16,10,1,3,1
3874,2023-06-25,21,Male,Ankara,Toys,"Digital Wallet",Tablet,238.63,2,0.00,477.26,11,16,1,4,1
3940,2023-08-29,42,Male,Antalya,Beauty,"Digital Wallet",Tablet,73.07,4,58.89,233.39,10,12,1,9,3
4029,2024-02-11,46,Female,Istanbul,Fashion,"Digital Wallet",Tablet,55.39,2,0.00,110.78,12,14,1,8,2
4037,2024-01-21,31,Male,Eskisehir,Electronics,"Digital Wallet",Tablet,1191.13,3,238.80,3334.59,16,11,1,3,5
4050,2023-04-11,18,Female,Gaziantep,Electronics,"Digital Wallet",Tablet,3641.11,4,1350.69,13213.75,18,11,1,7,4
4082,2023-12-05,44,Male,Antalya,"Home & Garden","Digital Wallet",Tablet,225.56,3,0.00,676.68,13,11,1,12,2
4098,2023-10-15,25,Female,Ankara,Fashion,"Digital Wallet",Tablet,144.68,1,31.03,113.65,15,8,1,12,4
4242,2023-03-14,24,Female,Bursa,Food,"Digital Wallet",Tablet,56.33,1,0.00,56.33,13,9,1,7,5
4367,2023-11-22,49,Male,Konya,Food,"Digital Wallet",Tablet,170.34,2,69.13,271.55,15,13,1,15,3
4495,2024-03-02,45,Female,Adana,Beauty,"Digital Wallet",Tablet,22.38,2,0.00,44.76,15,8,1,3,4
4540,2023-07-23,24,Male,Antalya,Sports,"Digital Wallet",Tablet,418.17,2,166.77,669.57,11,9,1,5,3
4554,2023-02-19,48,Male,Ankara,Toys,"Digital Wallet",Tablet,231.81,2,37.01,426.61,10,8,0,8,5
4675,2023-02-17,46,Female,Adana,Beauty,"Digital Wallet",Tablet,73.55,3,0.00,220.65,16,8,0,6,4
4721,2024-02-18,34,Male,Istanbul,Food,"Digital Wallet",Tablet,10.94,3,5.04,27.78,18,11,1,5,4
4733,2023-02-07,49,Other,Izmir,Books,"Digital Wallet",Tablet,41.69,3,13.82,111.25,12,4,1,4,4
4748,2023-07-11,24,Male,Konya,Books,"Digital Wallet",Tablet,106.82,5,65.19,468.91,18,12,0,11,4
4833,2024-03-25,59,Female,Bursa,Books,"Digital Wallet",Tablet,48.41,4,0.00,193.64,15,8,1,6,5
4914,2024-02-19,41,Female,Gaziantep,Fashion,"Digital Wallet",Tablet,222.84,5,222.22,891.98,16,10,1,4,3
4917,2023-10-22,41,Male,Ankara,Books,"Digital Wallet",Tablet,59.90,5,0.00,299.50,17,8,1,9,4
5106,2024-02-08,35,Male,Bursa,Sports,"Digital Wallet",Tablet,357.84,5,0.00,1789.20,12,12,1,12,4
5128,2023-02-20,30,Female,Eskisehir,Sports,"Digital Wallet",Tablet,1101.59,4,791.08,3615.28,17,10,0,4,2
5147,2024-02-10,30,Female,Izmir,Toys,"Digital Wallet",Tablet,45.57,1,9.05,36.52,18,10,1,3,4
5240,2023-12-03,52,Female,Ankara,Fashion,"Digital Wallet",Tablet,249.27,3,40.64,707.17,18,6,1,11,3
5292,2024-01-25,32,Male,Izmir,Food,"Digital Wallet",Tablet,132.23,4,90.49,438.43,17,10,1,10,5
5294,2023-03-17,23,Male,Istanbul,Fashion,"Digital Wallet",Tablet,436.33,2,0.00,872.66,16,5,1,7,5
5341,2023-05-01,18,Female,Izmir,Electronics,"Digital Wallet",Tablet,1706.08,5,0.00,8530.40,20,12,0,10,5
5384,2023-09-22,25,Male,Gaziantep,Sports,"Digital Wallet",Tablet,327.84,5,0.00,1639.20,17,8,1,3,5
5430,2023-08-09,35,Male,Istanbul,Books,"Digital Wallet",Tablet,29.32,3,0.00,87.96,12,11,1,7,5
5501,2023-10-10,43,Female,Istanbul,Beauty,"Digital Wallet",Tablet,143.06,2,30.39,255.73,16,11,1,6,4
5553,2023-08-31,26,Male,Adana,"Home & Garden","Digital Wallet",Tablet,556.01,5,0.00,2780.05,10,13,1,3,1
5570,2023-03-13,36,Female,Istanbul,Fashion,"Digital Wallet",Tablet,674.11,3,294.52,1727.81,13,6,1,8,5
5584,2023-10-08,45,Female,Konya,Beauty,"Digital Wallet",Tablet,60.18,4,0.00,240.72,19,9,1,6,5
5601,2024-02-02,36,Female,Eskisehir,Fashion,"Digital Wallet",Tablet,279.84,3,0.00,839.52,11,6,0,7,5
5617,2023-09-16,47,Male,Istanbul,Electronics,"Digital Wallet",Tablet,589.07,5,0.00,2945.35,11,9,1,7,5
5795,2023-05-25,34,Female,Bursa,Books,"Digital Wallet",Tablet,86.49,2,0.00,172.98,12,8,1,5,3
5879,2023-02-25,43,Male,Kayseri,Electronics,"Digital Wallet",Tablet,1286.92,2,0.00,2573.84,18,9,0,4,5
5902,2023-08-27,45,Male,Izmir,Food,"Digital Wallet",Tablet,93.40,5,0.00,467.00,14,10,1,5,4
5920,2023-12-31,31,Male,Istanbul,Beauty,"Digital Wallet",Tablet,50.36,3,25.04,126.04,9,14,0,8,5
5937,2024-03-07,28,Female,Istanbul,Beauty,"Digital Wallet",Tablet,174.03,2,32.50,315.56,12,7,1,4,4
6063,2024-03-20,54,Male,Istanbul,Beauty,"Digital Wallet",Tablet,174.53,1,10.01,164.52,17,11,1,4,5
6122,2023-03-13,18,Female,Ankara,"Home & Garden","Digital Wallet",Tablet,536.56,2,0.00,1073.12,10,9,1,4,4
6154,2023-03-23,31,Male,Istanbul,Beauty,"Digital Wallet",Tablet,112.28,2,14.59,209.97,18,8,1,9,2
6216,2024-02-16,18,Female,Istanbul,"Home & Garden","Digital Wallet",Tablet,342.60,3,0.00,1027.80,14,10,1,4,4
6270,2023-09-05,40,Male,Bursa,Fashion,"Digital Wallet",Tablet,475.12,2,145.53,804.71,14,9,1,5,5
6329,2023-02-10,28,Male,Ankara,Books,"Digital Wallet",Tablet,26.94,5,0.00,134.70,15,9,1,2,4
6366,2023-08-20,20,Female,Kayseri,Sports,"Digital Wallet",Tablet,312.95,2,49.35,576.55,15,7,0,7,4
6379,2023-05-25,38,Male,Gaziantep,Fashion,"Digital Wallet",Tablet,526.26,1,43.04,483.22,13,9,1,5,5
6434,2024-03-01,44,Male,Konya,Electronics,"Digital Wallet",Tablet,245.20,1,0.00,245.20,19,8,1,4,5
6524,2023-08-18,31,Female,Gaziantep,Beauty,"Digital Wallet",Tablet,41.32,1,0.00,41.32,16,9,0,7,3
6661,2023-10-29,66,Male,Istanbul,Beauty,"Digital Wallet",Tablet,104.13,1,0.00,104.13,15,7,1,5,2
6666,2023-12-07,18,Male,Ankara,Sports,"Digital Wallet",Tablet,479.27,5,394.95,2001.40,14,10,1,12,4
6749,2023-08-05,38,Female,Adana,Food,"Digital Wallet",Tablet,38.43,4,0.00,153.72,13,11,1,7,1
6761,2023-06-13,36,Male,Istanbul,Toys,"Digital Wallet",Tablet,36.47,3,6.80,102.61,13,3,1,3,5
6970,2023-08-03,18,Female,Ankara,Food,"Digital Wallet",Tablet,52.03,4,32.67,175.45,16,11,1,11,4
6987,2023-12-26,37,Female,Ankara,Electronics,"Digital Wallet",Tablet,2107.21,3,0.00,6321.63,13,8,0,2,4
7155,2023-07-28,42,Female,Kayseri,Books,"Digital Wallet",Tablet,20.22,5,17.52,83.58,16,6,1,12,3
7165,2023-07-06,18,Male,Adana,Books,"Digital Wallet",Tablet,84.38,1,0.00,84.38,18,13,1,9,2
7171,2023-05-05,28,Female,Kayseri,"Home & Garden","Digital Wallet",Tablet,505.63,3,0.00,1516.89,14,10,1,2,4
7188,2023-06-04,38,Other,Adana,Toys,"Digital Wallet",Tablet,188.24,2,0.00,376.48,16,10,1,1,4
7268,2023-07-15,43,Female,Gaziantep,"Home & Garden","Digital Wallet",Tablet,717.87,2,0.00,1435.74,14,13,1,10,4
7286,2024-01-13,32,Male,Gaziantep,Books,"Digital Wallet",Tablet,116.66,4,51.95,414.69,16,10,1,4,5
7326,2023-03-03,40,Male,Bursa,Toys,"Digital Wallet",Tablet,117.85,4,0.00,471.40,19,11,1,8,2
7346,2023-02-03,36,Male,Ankara,Fashion,"Digital Wallet",Tablet,102.88,2,0.00,205.76,16,8,1,6,5
7348,2023-08-24,36,Male,Ankara,Electronics,"Digital Wallet",Tablet,1430.95,5,1298.61,5856.14,15,9,1,7,4
7426,2024-02-09,27,Male,Istanbul,Books,"Digital Wallet",Tablet,72.57,1,11.48,61.09,16,6,1,3,5
7495,2023-12-27,18,Female,Adana,Books,"Digital Wallet",Tablet,94.04,5,0.00,470.20,11,14,1,6,1
7523,2023-05-26,53,Male,Istanbul,"Home & Garden","Digital Wallet",Tablet,146.51,1,9.10,137.41,13,10,1,8,5
7558,2023-06-15,40,Female,Ankara,Electronics,"Digital Wallet",Tablet,2654.13,5,2674.93,10595.72,16,6,1,6,4
7597,2023-09-03,45,Male,Konya,Toys,"Digital Wallet",Tablet,86.42,2,0.00,172.84,13,7,1,4,5
7664,2023-12-28,23,Male,Bursa,Food,"Digital Wallet",Tablet,141.80,2,0.00,283.60,16,5,1,14,3
7688,2023-02-12,36,Female,Istanbul,Toys,"Digital Wallet",Tablet,103.33,2,29.27,177.39,14,10,0,3,2
7714,2023-02-21,18,Female,Istanbul,Toys,"Digital Wallet",Tablet,39.48,2,16.99,61.97,15,4,1,6,2
7838,2023-03-03,40,Male,Istanbul,Toys,"Digital Wallet",Tablet,434.83,3,193.72,1110.77,13,10,1,7,5
7906,2024-03-15,37,Female,Izmir,Food,"Digital Wallet",Tablet,12.15,5,0.00,60.75,12,10,1,4,5
7931,2023-09-14,28,Male,Bursa,Toys,"Digital Wallet",Tablet,259.63,2,28.19,491.07,9,7,1,3,2
7966,2023-06-11,45,Female,Konya,Toys,"Digital Wallet",Tablet,147.48,5,0.00,737.40,13,10,1,4,4
7971,2024-01-22,34,Male,Ankara,Beauty,"Digital Wallet",Tablet,58.74,5,0.00,293.70,14,11,1,3,5
7984,2023-11-11,41,Female,Istanbul,Sports,"Digital Wallet",Tablet,475.90,1,0.00,475.90,19,6,1,7,5
8312,2023-05-19,18,Male,Istanbul,Food,"Digital Wallet",Tablet,181.89,4,96.21,631.35,18,8,1,4,5
8352,2023-07-29,34,Male,Adana,Food,"Digital Wallet",Tablet,98.28,5,0.00,491.40,16,8,1,4,4
8368,2024-03-13,33,Female,Adana,Fashion,"Digital Wallet",Tablet,93.07,3,0.00,279.21,16,12,1,10,4
8407,2023-11-30,26,Male,Istanbul,Food,"Digital Wallet",Tablet,32.19,4,0.00,128.76,15,12,1,5,3
8411,2023-08-05,24,Female,Adana,Books,"Digital Wallet",Tablet,62.87,5,38.47,275.88,17,9,1,2,5
8434,2023-03-20,40,Male,Konya,Books,"Digital Wallet",Tablet,21.15,2,0.00,42.30,12,10,1,7,5
8473,2023-03-27,38,Male,Gaziantep,Toys,"Digital Wallet",Tablet,219.28,4,0.00,877.12,15,11,1,7,4
8474,2023-08-15,38,Male,Gaziantep,Beauty,"Digital Wallet",Tablet,25.73,1,3.49,22.24,11,7,1,13,5
8476,2024-02-20,38,Male,Gaziantep,Books,"Digital Wallet",Tablet,25.71,1,0.00,25.71,19,11,1,4,5
8575,2023-06-06,21,Female,Istanbul,"Home & Garden","Digital Wallet",Tablet,544.14,3,0.00,1632.42,16,9,1,10,5
8663,2023-04-07,41,Female,Bursa,Toys,"Digital Wallet",Tablet,66.68,4,0.00,266.72,22,8,1,7,3
8792,2023-02-10,31,Female,Konya,"Home & Garden","Digital Wallet",Tablet,144.39,1,10.75,133.64,13,10,1,6,4
8835,2023-11-29,48,Female,Istanbul,"Home & Garden","Digital Wallet",Tablet,354.31,4,255.09,1162.15,15,9,1,7,5
8855,2023-01-27,34,Male,Gaziantep,Food,"Digital Wallet",Tablet,117.41,2,0.00,234.82,15,7,1,5,5
8999,2023-07-21,47,Female,Bursa,Toys,"Digital Wallet",Tablet,389.55,4,0.00,1558.20,16,12,1,6,3
9268,2023-09-18,58,Female,Adana,Toys,"Digital Wallet",Tablet,150.47,2,0.00,300.94,17,7,1,13,5
9278,2023-10-06,29,Male,Konya,Toys,"Digital Wallet",Tablet,78.68,4,56.52,258.20,13,12,1,6,3
9363,2023-04-08,25,Female,Eskisehir,Electronics,"Digital Wallet",Tablet,1521.87,4,0.00,6087.48,14,9,1,6,4
9409,2023-09-15,40,Female,Ankara,Fashion,"Digital Wallet",Tablet,368.71,4,0.00,1474.84,15,8,1,5,2
9471,2023-06-04,29,Male,Antalya,Books,"Digital Wallet",Tablet,27.24,2,0.00,54.48,12,9,1,10,1
9483,2023-11-20,42,Male,Antalya,Beauty,"Digital Wallet",Tablet,50.69,5,0.00,253.45,16,11,1,4,3
9501,2023-06-14,38,Female,Ankara,Fashion,"Digital Wallet",Tablet,307.37,4,0.00,1229.48,14,9,1,6,5
9576,2023-12-23,39,Female,Istanbul,Books,"Digital Wallet",Tablet,39.32,2,0.00,78.64,14,10,1,12,5
9580,2023-01-12,31,Female,Konya,Books,"Digital Wallet",Tablet,28.34,2,0.00,56.68,13,10,0,5,4
9590,2023-12-24,18,Male,Istanbul,Toys,"Digital Wallet",Tablet,172.07,3,72.32,443.89,9,10,1,4,2
9699,2024-03-03,49,Female,Izmir,Sports,"Digital Wallet",Tablet,444.74,3,0.00,1334.22,15,9,1,2,5
9782,2023-03-19,18,Female,Kayseri,Sports,"Digital Wallet",Tablet,383.03,5,0.00,1915.15,10,5,1,9,4
9809,2023-07-19,18,Female,Istanbul,Sports,"Digital Wallet",Tablet,348.99,3,0.00,1046.97,19,11,1,5,5
9851,2023-05-02,44,Male,Istanbul,Books,"Digital Wallet",Tablet,42.95,2,11.45,74.45,14,5,1,2,4
9894,2024-02-07,28,Female,Izmir,Books,"Digital Wallet",Tablet,86.39,3,0.00,259.17,15,9,1,6,4
9903,2024-03-03,18,Male,Gaziantep,Beauty,"Digital Wallet",Tablet,105.31,4,0.00,421.24,16,9,1,7,4
9908,2024-01-31,30,Female,Konya,Sports,"Digital Wallet",Tablet,384.90,4,240.54,1299.06,18,12,1,11,4
9956,2023-02-14,43,Male,Kayseri,Sports,"Digital Wallet",Tablet,263.94,3,0.00,791.82,15,9,0,12,5
10020,2023-01-06,32,Male,Bursa,"Home & Garden","Digital Wallet",Tablet,1329.27,2,0.00,2658.54,11,12,1,3,5
10099,2023-03-22,39,Female,Istanbul,Toys,"Digital Wallet",Tablet,72.66,1,8.99,63.67,20,9,1,12,1
10145,2023-06-11,50,Male,Istanbul,Food,"Digital Wallet",Tablet,112.98,3,21.31,317.63,14,9,1,5,5
10155,2023-05-30,38,Female,Istanbul,Food,"Digital Wallet",Tablet,20.88,1,0.00,20.88,16,5,1,2,4
10156,2023-11-13,38,Female,Istanbul,Electronics,"Digital Wallet",Tablet,1371.37,2,0.00,2742.74,16,7,1,6,4
10169,2023-09-11,21,Male,Eskisehir,Electronics,"Digital Wallet",Tablet,2308.65,4,0.00,9234.60,12,13,1,5,3
10199,2023-03-09,33,Male,Eskisehir,Sports,"Digital Wallet",Tablet,112.07,4,0.00,448.28,8,7,1,4,2
10215,2024-02-03,30,Male,Ankara,Toys,"Digital Wallet",Tablet,107.34,3,55.88,266.14,14,9,1,12,4
10257,2023-01-12,18,Male,Ankara,Beauty,"Digital Wallet",Tablet,63.86,1,0.00,63.86,18,10,1,15,5
10288,2024-02-08,37,Male,Antalya,Electronics,"Digital Wallet",Tablet,1910.05,3,0.00,5730.15,12,12,1,2,5
10313,2023-11-04,40,Male,Adana,Books,"Digital Wallet",Tablet,84.16,5,0.00,420.80,17,8,0,9,4
10392,2023-04-17,55,Female,Istanbul,Fashion,"Digital Wallet",Tablet,73.69,4,0.00,294.76,12,13,1,9,5
10401,2023-05-02,28,Male,Istanbul,Fashion,"Digital Wallet",Tablet,234.18,2,0.00,468.36,11,6,1,4,5
10459,2023-05-27,44,Female,Bursa,Fashion,"Digital Wallet",Tablet,89.76,2,0.00,179.52,13,9,1,19,2
10466,2024-01-23,41,Male,Istanbul,Toys,"Digital Wallet",Tablet,195.47,2,27.49,363.45,17,12,1,13,5
10558,2023-06-10,54,Male,Antalya,Fashion,"Digital Wallet",Tablet,182.19,5,133.34,777.61,15,9,1,14,1
10595,2023-11-03,39,Male,Konya,Fashion,"Digital Wallet",Tablet,86.32,2,16.71,155.93,15,9,1,5,4
10633,2023-06-26,40,Female,Adana,Beauty,"Digital Wallet",Tablet,36.52,3,15.81,93.75,16,11,1,6,5
10669,2023-01-02,35,Male,Konya,Fashion,"Digital Wallet",Tablet,322.69,3,68.56,899.51,18,8,0,6,5
10789,2023-07-14,29,Female,Ankara,Beauty,"Digital Wallet",Tablet,79.61,5,23.64,374.41,15,11,1,8,5
10796,2024-02-16,26,Male,Izmir,Beauty,"Digital Wallet",Tablet,78.50,2,0.00,157.00,11,6,1,5,3
10882,2024-01-21,45,Male,Izmir,Beauty,"Digital Wallet",Tablet,51.16,3,0.00,153.48,15,12,1,3,4
10958,2024-03-06,18,Female,Adana,Sports,"Digital Wallet",Tablet,257.63,4,116.74,913.78,15,12,1,7,5
11010,2023-04-16,34,Male,Istanbul,Food,"Digital Wallet",Tablet,90.65,4,0.00,362.60,12,11,1,10,2
11030,2023-05-29,19,Male,Konya,Sports,"Digital Wallet",Tablet,348.97,3,128.35,918.56,13,11,0,5,3
11034,2023-06-12,46,Male,Ankara,Sports,"Digital Wallet",Tablet,304.56,2,40.06,569.06,11,8,1,3,3
11140,2023-11-09,24,Female,Antalya,Sports,"Digital Wallet",Tablet,82.63,3,46.06,201.83,9,7,1,2,4
11291,2024-01-30,34,Male,Ankara,Electronics,"Digital Wallet",Tablet,1979.10,1,0.00,1979.10,12,9,1,13,5
11343,2023-02-26,21,Male,Istanbul,Fashion,"Digital Wallet",Tablet,373.15,1,57.96,315.19,13,7,1,5,4
11365,2023-05-17,18,Female,Konya,Fashion,"Digital Wallet",Tablet,314.40,4,0.00,1257.60,13,8,0,4,5
11478,2023-07-28,18,Female,Antalya,"Home & Garden","Digital Wallet",Tablet,764.11,4,0.00,3056.44,16,7,1,9,5
11526,2023-06-14,23,Male,Ankara,"Home & Garden","Digital Wallet",Tablet,335.68,4,0.00,1342.72,17,10,0,4,4
11603,2023-07-13,37,Male,Konya,"Home & Garden","Digital Wallet",Tablet,174.62,2,50.38,298.86,15,13,1,3,4
11694,2023-05-28,48,Male,Ankara,Sports,"Digital Wallet",Tablet,896.06,4,772.63,2811.61,13,6,1,4,5
11774,2023-10-05,28,Male,Kayseri,Toys,"Digital Wallet",Tablet,211.39,3,0.00,634.17,15,6,1,5,3
11858,2023-08-02,48,Female,Bursa,Toys,"Digital Wallet",Tablet,77.70,4,0.00,310.80,16,14,1,8,4
11863,2023-06-28,51,Female,Izmir,Beauty,"Digital Wallet",Tablet,220.67,1,0.00,220.67,16,9,1,4,4
12062,2024-03-11,51,Male,Gaziantep,Sports,"Digital Wallet",Tablet,256.51,2,0.00,513.02,20,11,1,2,5
12195,2023-10-19,23,Female,Bursa,Fashion,"Digital Wallet",Tablet,266.79,3,0.00,800.37,14,8,1,6,2
12203,2024-01-25,30,Male,Ankara,Beauty,"Digital Wallet",Tablet,189.67,3,50.70,518.31,14,6,1,6,5
12227,2024-03-04,48,Male,Izmir,Electronics,"Digital Wallet",Tablet,1350.52,2,344.61,2356.43,19,7,1,8,5
12253,2024-01-12,44,Female,Izmir,Electronics,"Digital Wallet",Tablet,954.33,3,0.00,2862.99,15,9,1,5,3
